MAE Error,RMSE Error,PCC Coefficient
0.016453771498944482,0.029359309560009948,0.999971
0.008316064665301933,0.018179726530746145,0.9999901
0.01309708595437915,0.023179556272319747,0.9999821
0.008760187205882255,0.021700366115895615,0.99998367
0.030097896922413263,0.05559360753586345,0.9999306
0.004303256165586188,0.013730148884989869,0.9999919
0.006622146038057009,0.015128353017621858,0.9999878
0.004311478619740038,0.011316528684680915,0.9999951
0.003796198216657008,0.01028162069458893,0.9999943
0.005490454705943534,0.01346290885330901,0.9999936
0.017622020536740828,0.03321326861118951,0.99997973
0.005143839928434321,0.011216212595036851,0.99999434
0.006393884410612213,0.01926345946004843,0.99998736
0.0382029452716314,0.06641961741660288,0.9999625
0.02656318794489804,0.04942651867930613,0.99991703
0.0210246546786404,0.04103926758307952,0.99994355
0.01176076711389793,0.020709686359296084,0.99998844
0.006673026736260365,0.013731152808858033,0.9999922
0.006858183777677453,0.015363277547921439,0.9999902
0.009056818415597771,0.02154389193995721,0.9999809
0.013033397556921221,0.024022834875754566,0.9999894
0.02791657077442921,0.04610036305684867,0.9999844
0.037227036921085324,0.06989673843175181,0.99994266
0.00843374135729112,0.016635019812425437,0.99998814
0.02086258269424378,0.039328170912172486,0.9999666
0.007405970032018299,0.01628446063112055,0.9999866
0.004417437786934248,0.014574058900682856,0.99999005
0.021692699191360673,0.044594961906673454,0.9999698
0.011467435246969977,0.025988097695363335,0.9999705
0.03686099887086521,0.06485795316566102,0.9999513
0.006368449362373443,0.015989152366986427,0.99999094
0.06953329957546672,0.10988302904153933,0.99991924
0.018554306179183244,0.029749457787697286,0.9999925
0.045342591593025,0.07865226224796579,0.99990964
0.005987649886141119,0.013746278791645774,0.9999936
0.002775778249528055,0.010085651786841909,0.99999547
0.004456532482763298,0.013520937801377326,0.99998975
0.025191294286502075,0.044233196366556746,0.99998355
0.0261584560755669,0.04399247782132813,0.99998385
0.026334159152117634,0.055399019546511725,0.9998921
0.011049602324421539,0.022513197234256804,0.9999801
0.02429109830942641,0.04477151747382987,0.9999503
0.004440682066137222,0.014702666006987731,0.99998754
0.004266044269085661,0.010440014689458732,0.99999577
0.018156481231104665,0.08535404767501563,0.9995746
0.007061105731325524,0.017237336620971457,0.9999885
0.18663174917843298,0.29426261046998725,0.999636
0.013331326888523268,0.025659403881965342,0.9999926
0.024543705348752314,0.043606295171633884,0.999945
0.01421200194000899,0.02506894770641556,0.99999046
0.01753319436195083,0.03495333719426564,0.9999665
0.014773548077539618,0.02752676379295797,0.9999703
0.037915011314929976,0.06355022093364375,0.9999736
0.006345622272016171,0.014468266539022457,0.9999891
0.006784117212019178,0.014239563461312277,0.99999416
0.07520407522483695,0.12257203491365647,0.99988693
0.010787481931200986,0.02259161702295013,0.9999858
0.035625441865100534,0.06304128458885024,0.9999376
0.023558907229852866,0.06372834531660404,0.9998037
0.03883088946359297,0.06392137927955756,0.99997675
0.0037386212731148737,0.008088931436983717,0.99999726
0.005779435725130241,0.01419277707085149,0.99999154
0.16439050183796353,0.25775231598342413,0.9997854
0.012119786584762827,0.02438526625190268,0.99998057
0.0049249965913121556,0.010564255645126946,0.9999957
0.002246923450871204,0.009292613199271459,0.999996
0.03274611637738961,0.053741917407255924,0.9999868
0.01250034582007569,0.03197305658752147,0.99994284
0.0056601690534539405,0.01265293735979057,0.99999434
0.014646233847594337,0.025775542296814936,0.9999908
0.01567379535661839,0.03202446705396806,0.9999738
0.014087327283981859,0.024614786067036976,0.99999005
0.00688462539989652,0.014074554281125454,0.9999932
0.018508270557678317,0.031403011127176,0.9999926
0.015270424358469696,0.02973950708648448,0.9999717
0.009931783636155921,0.019832291784661536,0.9999817
0.013029328657349475,0.02615846497083854,0.99997
0.015617301678740715,0.025592039549608016,0.9999948
0.008482397124809003,0.028036871798208494,0.99996054
0.006949509235773568,0.014999540017966285,0.99999285
0.051683314903952275,0.09258922400825033,0.9998707
0.008166416949302348,0.01595849875656539,0.9999926
0.007043200660373183,0.013531650506082741,0.9999941
0.007541434667365089,0.02303477171163913,0.9999712
0.005793532586568926,0.014287198897558754,0.99999267
0.009454457569948702,0.017690487976030286,0.999992
0.004997304494435443,0.013245477593279579,0.9999928
0.005468365963604205,0.011798099552985417,0.99999285
0.007261378209334127,0.01751673689574905,0.9999836
0.005193935021862454,0.014025110969395588,0.99999094
0.02578065655599495,0.04146427944370581,0.9999885
0.008168110014887068,0.014576872232238457,0.9999951
0.03257943980167816,0.056925637211580137,0.9999728
